batch_id,supplier_id,lot_id,production_date,line_id,lot_is_defective,production_week
B-092,S001,LOT-S001-202603-02,2026-03-16,L4,False,2026-03-16/2026-03-22
B-093,S002,LOT-S002-202603-03,2026-03-05,L2,False,2026-03-02/2026-03-08
B-094,S008,LOT-S008-202602-04,2026-02-27,L4,False,2026-02-23/2026-03-01
B-095,S004,LOT-S004-202602-03,2026-02-23,L2,False,2026-02-23/2026-03-01
B-096,S005,LOT-S005-202602-03,2026-02-17,L1,False,2026-02-16/2026-02-22
B-097,S008,LOT-S008-202601-03,2026-01-24,L4,True,2026-01-19/2026-01-25
B-098,S006,LOT-S006-202603-02,2026-03-04,L2,False,2026-03-02/2026-03-08
B-099,S007,LOT-S007-202602-04,2026-02-03,L1,False,2026-02-02/2026-02-08
B-100,S003,LOT-S003-202602-02,2026-02-23,L4,False,2026-02-23/2026-03-01
B-101,S008,LOT-S008-202601-04,2026-01-17,L1,False,2026-01-12/2026-01-18
B-102,S007,LOT-S007-202601-04,2026-01-23,L2,True,2026-01-19/2026-01-25
B-103,S007,LOT-S007-202602-05,2026-02-17,L1,False,2026-02-16/2026-02-22
B-104,S008,LOT-S008-202602-01,2026-02-14,L1,False,2026-02-09/2026-02-15
B-105,S005,LOT-S005-202603-04,2026-03-26,L2,False,2026-03-23/2026-03-29
B-106,S002,LOT-S002-202603-03,2026-03-27,L4,False,2026-03-23/2026-03-29
B-107,S006,LOT-S006-202601-03,2026-01-10,L1,False,2026-01-05/2026-01-11
B-108,S003,LOT-S003-202603-04,2026-03-01,L2,False,2026-02-23/2026-03-01
B-109,S003,LOT-S003-202601-04,2026-01-26,L1,False,2026-01-26/2026-02-01
B-110,S003,LOT-S003-202603-03,2026-03-09,L2,False,2026-03-09/2026-03-15
B-111,S001,LOT-S001-202602-05,2026-02-06,L4,False,2026-02-02/2026-02-08
B-112,S008,LOT-S008-202601-03,2026-01-14,L3,True,2026-01-12/2026-01-18
B-113,S008,LOT-S008-202602-04,2026-02-06,L3,False,2026-02-02/2026-02-08
B-114,S004,LOT-S004-202601-03,2026-01-18,L4,False,2026-01-12/2026-01-18
B-115,S001,LOT-S001-202602-01,2026-02-11,L4,False,2026-02-09/2026-02-15
B-116,S008,LOT-S008-202603-05,2026-03-23,L3,False,2026-03-23/2026-03-29
B-117,S004,LOT-S004-202602-02,2026-02-02,L3,False,2026-02-02/2026-02-08
B-118,S001,LOT-S001-202603-01,2026-03-26,L3,False,2026-03-23/2026-03-29
B-119,S002,LOT-S002-202601-04,2026-01-21,L3,False,2026-01-19/2026-01-25
B-120,S003,LOT-S003-202601-05,2026-01-30,L3,False,2026-01-26/2026-02-01
B-121,S005,LOT-S005-202601-03,2026-01-26,L4,False,2026-01-26/2026-02-01
B-122,S002,LOT-S002-202603-04,2026-03-05,L2,False,2026-03-02/2026-03-08
B-123,S007,LOT-S007-202601-05,2026-01-16,L1,False,2026-01-12/2026-01-18
B-124,S006,LOT-S006-202603-04,2026-03-04,L3,False,2026-03-02/2026-03-08
B-125,S004,LOT-S004-202601-05,2026-01-18,L4,False,2026-01-12/2026-01-18
B-126,S004,LOT-S004-202603-04,2026-03-24,L1,False,2026-03-23/2026-03-29
B-127,S002,LOT-S002-202602-01,2026-02-26,L2,False,2026-02-23/2026-03-01
B-128,S002,LOT-S002-202603-05,2026-03-09,L1,False,2026-03-09/2026-03-15
B-129,S008,LOT-S008-202602-05,2026-02-23,L3,False,2026-02-23/2026-03-01
B-130,S003,LOT-S003-202603-01,2026-03-21,L4,False,2026-03-16/2026-03-22
B-131,S007,LOT-S007-202603-03,2026-03-24,L3,False,2026-03-23/2026-03-29
B-132,S008,LOT-S008-202603-01,2026-03-02,L2,False,2026-03-02/2026-03-08
B-133,S006,LOT-S006-202603-03,2026-03-15,L1,False,2026-03-09/2026-03-15
B-134,S008,LOT-S008-202601-02,2026-01-20,L1,False,2026-01-19/2026-01-25
B-135,S006,LOT-S006-202601-05,2026-01-11,L2,False,2026-01-05/2026-01-11
B-136,S004,LOT-S004-202601-03,2026-01-13,L2,False,2026-01-12/2026-01-18
B-137,S001,LOT-S001-202603-02,2026-03-22,L3,False,2026-03-16/2026-03-22
B-138,S002,LOT-S002-202601-01,2026-01-27,L1,False,2026-01-26/2026-02-01
B-139,S006,LOT-S006-202602-03,2026-02-04,L1,False,2026-02-02/2026-02-08
B-140,S007,LOT-S007-202601-04,2026-01-21,L1,True,2026-01-19/2026-01-25
B-141,S002,LOT-S002-202602-02,2026-02-20,L4,False,2026-02-16/2026-02-22
B-142,S005,LOT-S005-202603-01,2026-03-12,L4,False,2026-03-09/2026-03-15
B-143,S007,LOT-S007-202603-01,2026-03-07,L4,False,2026-03-02/2026-03-08
B-144,S002,LOT-S002-202603-05,2026-03-02,L1,False,2026-03-02/2026-03-08
B-145,S003,LOT-S003-202601-05,2026-01-13,L3,False,2026-01-12/2026-01-18
B-146,S005,LOT-S005-202602-05,2026-02-22,L4,False,2026-02-16/2026-02-22
B-147,S002,LOT-S002-202601-04,2026-01-17,L2,False,2026-01-12/2026-01-18
B-148,S006,LOT-S006-202602-04,2026-02-26,L4,False,2026-02-23/2026-03-01
B-149,S007,LOT-S007-202602-03,2026-02-14,L3,False,2026-02-09/2026-02-15
B-150,S008,LOT-S008-202601-01,2026-01-24,L1,False,2026-01-19/2026-01-25
B-151,S002,LOT-S002-202603-05,2026-03-01,L3,False,2026-02-23/2026-03-01
B-152,S006,LOT-S006-202603-03,2026-03-21,L1,False,2026-03-16/2026-03-22
B-153,S005,LOT-S005-202601-01,2026-01-11,L3,False,2026-01-05/2026-01-11
B-154,S008,LOT-S008-202601-03,2026-01-24,L2,True,2026-01-19/2026-01-25
B-155,S005,LOT-S005-202601-05,2026-01-19,L2,False,2026-01-19/2026-01-25
B-156,S005,LOT-S005-202603-03,2026-03-23,L1,False,2026-03-23/2026-03-29
B-157,S006,LOT-S006-202602-02,2026-02-17,L1,False,2026-02-16/2026-02-22
B-158,S003,LOT-S003-202601-05,2026-01-13,L1,False,2026-01-12/2026-01-18
B-159,S007,LOT-S007-202602-02,2026-02-22,L4,True,2026-02-16/2026-02-22
B-160,S006,LOT-S006-202602-02,2026-02-13,L1,False,2026-02-09/2026-02-15
B-161,S001,LOT-S001-202603-04,2026-03-25,L1,False,2026-03-23/2026-03-29
B-162,S008,LOT-S008-202603-02,2026-03-08,L4,False,2026-03-02/2026-03-08
B-163,S007,LOT-S007-202602-05,2026-02-18,L1,False,2026-02-16/2026-02-22
B-164,S005,LOT-S005-202603-04,2026-03-13,L1,False,2026-03-09/2026-03-15
B-165,S004,LOT-S004-202601-02,2026-01-05,L3,False,2026-01-05/2026-01-11
B-166,S006,LOT-S006-202602-04,2026-02-11,L1,False,2026-02-09/2026-02-15
B-167,S003,LOT-S003-202601-02,2026-01-27,L4,False,2026-01-26/2026-02-01
B-168,S007,LOT-S007-202601-01,2026-01-14,L1,False,2026-01-12/2026-01-18
B-169,S006,LOT-S006-202601-04,2026-01-14,L4,False,2026-01-12/2026-01-18
B-170,S002,LOT-S002-202602-03,2026-02-11,L4,False,2026-02-09/2026-02-15
B-171,S008,LOT-S008-202603-04,2026-03-25,L3,False,2026-03-23/2026-03-29
B-172,S007,LOT-S007-202602-01,2026-02-05,L4,False,2026-02-02/2026-02-08
B-173,S006,LOT-S006-202602-02,2026-02-13,L2,False,2026-02-09/2026-02-15
B-174,S002,LOT-S002-202603-03,2026-03-11,L2,False,2026-03-09/2026-03-15
B-175,S002,LOT-S002-202602-02,2026-02-04,L2,False,2026-02-02/2026-02-08
B-176,S003,LOT-S003-202603-04,2026-03-23,L1,False,2026-03-23/2026-03-29
B-177,S008,LOT-S008-202603-03,2026-03-18,L3,False,2026-03-16/2026-03-22
B-178,S002,LOT-S002-202603-03,2026-03-02,L4,False,2026-03-02/2026-03-08
B-179,S001,LOT-S001-202603-01,2026-03-21,L3,False,2026-03-16/2026-03-22
B-180,S008,LOT-S008-202603-03,2026-03-05,L1,False,2026-03-02/2026-03-08
B-181,S002,LOT-S002-202601-05,2026-01-14,L4,False,2026-01-12/2026-01-18
B-182,S004,LOT-S004-202603-04,2026-03-03,L3,False,2026-03-02/2026-03-08
B-183,S008,LOT-S008-202601-01,2026-01-12,L1,False,2026-01-12/2026-01-18
B-184,S004,LOT-S004-202601-05,2026-01-10,L4,False,2026-01-05/2026-01-11
B-185,S006,LOT-S006-202602-04,2026-02-20,L3,False,2026-02-16/2026-02-22
B-186,S001,LOT-S001-202603-03,2026-03-22,L3,False,2026-03-16/2026-03-22
B-187,S007,LOT-S007-202603-05,2026-03-17,L3,False,2026-03-16/2026-03-22
B-188,S002,LOT-S002-202602-03,2026-02-16,L2,False,2026-02-16/2026-02-22
B-189,S002,LOT-S002-202601-04,2026-01-21,L3,False,2026-01-19/2026-01-25
B-190,S002,LOT-S002-202601-03,2026-01-21,L4,False,2026-01-19/2026-01-25
B-191,S005,LOT-S005-202602-03,2026-02-20,L2,False,2026-02-16/2026-02-22
B-192,S004,LOT-S004-202601-01,2026-01-29,L2,False,2026-01-26/2026-02-01
B-193,S001,LOT-S001-202601-02,2026-01-17,L3,False,2026-01-12/2026-01-18
B-194,S003,LOT-S003-202601-05,2026-01-24,L2,False,2026-01-19/2026-01-25
B-195,S001,LOT-S001-202603-02,2026-03-02,L4,False,2026-03-02/2026-03-08
B-196,S005,LOT-S005-202603-05,2026-03-24,L4,False,2026-03-23/2026-03-29
B-197,S008,LOT-S008-202602-05,2026-02-13,L2,False,2026-02-09/2026-02-15
B-198,S005,LOT-S005-202603-05,2026-03-05,L4,False,2026-03-02/2026-03-08
B-199,S004,LOT-S004-202601-01,2026-01-25,L2,False,2026-01-19/2026-01-25
B-200,S002,LOT-S002-202602-01,2026-02-21,L1,False,2026-02-16/2026-02-22
