batch_id,supplier_id,production_date,line_id,unit_count,material_lot,material_type,sku,is_defective
B-050,S006,2026-03-01,L4,1948,LOT-S006-202603-02,bonded_seam_tape,WC-AWAY-W,False
B-051,S005,2026-01-27,L4,1452,LOT-S005-202601-04,jersey_fabric,WC-HOME-W,False
B-052,S004,2026-02-15,L1,1071,LOT-S004-202602-04,heat_transfer_film,WC-AWAY-M,False
B-053,S007,2026-03-05,L3,558,LOT-S007-202603-04,bonded_seam_tape,WC-HOME-W,False
B-054,S008,2026-01-28,L2,1226,LOT-S008-202601-03,heat_transfer_film,WC-HOME-W,True
B-055,S005,2026-02-09,L1,1558,LOT-S005-202602-02,jersey_fabric,WC-HOME-M,False
B-056,S007,2026-02-04,L4,1637,LOT-S007-202602-02,bonded_seam_tape,WC-AWAY-W,False
B-057,S008,2026-03-28,L4,535,LOT-S008-202603-01,heat_transfer_film,WC-HOME-W,False
B-058,S007,2026-02-02,L2,1127,LOT-S007-202602-05,bonded_seam_tape,WC-HOME-W,True
B-059,S006,2026-03-06,L4,1627,LOT-S006-202603-03,bonded_seam_tape,WC-HOME-W,False
B-060,S005,2026-03-04,L3,1014,LOT-S005-202603-02,jersey_fabric,WC-HOME-M,False
B-061,S006,2026-01-29,L1,1597,LOT-S006-202601-02,bonded_seam_tape,WC-AWAY-M,False
B-062,S008,2026-02-01,L3,1983,LOT-S008-202602-05,heat_transfer_film,WC-HOME-W,True
B-063,S004,2026-01-17,L3,965,LOT-S004-202601-03,heat_transfer_film,WC-AWAY-M,False
B-064,S001,2026-02-12,L2,1061,LOT-S001-202602-01,jersey_fabric,WC-HOME-M,False
B-065,S005,2026-03-16,L2,1806,LOT-S005-202603-04,jersey_fabric,WC-HOME-M,False
B-066,S005,2026-01-06,L4,1480,LOT-S005-202601-04,jersey_fabric,WC-HOME-W,False
B-067,S001,2026-01-28,L3,1478,LOT-S001-202601-01,jersey_fabric,WC-HOME-M,False
B-068,S008,2026-02-25,L1,1681,LOT-S008-202602-01,heat_transfer_film,WC-AWAY-M,False
B-069,S005,2026-01-24,L1,1008,LOT-S005-202601-01,jersey_fabric,WC-AWAY-W,False
B-070,S004,2026-03-23,L4,1422,LOT-S004-202603-04,heat_transfer_film,WC-HOME-W,False
B-071,S007,2026-03-21,L3,1664,LOT-S007-202603-05,bonded_seam_tape,WC-HOME-M,False
B-072,S002,2026-03-24,L2,1781,LOT-S002-202603-02,bonded_seam_tape,WC-HOME-W,False
B-073,S003,2026-01-15,L2,855,LOT-S003-202601-05,jersey_fabric,WC-HOME-M,False
B-074,S001,2026-01-25,L4,1422,LOT-S001-202601-05,jersey_fabric,WC-AWAY-W,False
B-075,S001,2026-02-11,L2,1090,LOT-S001-202602-03,jersey_fabric,WC-AWAY-W,False
B-076,S004,2026-01-14,L3,1780,LOT-S004-202601-05,heat_transfer_film,WC-AWAY-M,False
B-077,S002,2026-02-28,L2,1826,LOT-S002-202602-02,bonded_seam_tape,WC-HOME-W,False
B-078,S002,2026-01-23,L1,839,LOT-S002-202601-03,bonded_seam_tape,WC-HOME-W,False
B-079,S002,2026-03-02,L4,1910,LOT-S002-202603-03,bonded_seam_tape,WC-AWAY-W,False
B-080,S008,2026-02-08,L4,664,LOT-S008-202602-05,heat_transfer_film,WC-HOME-M,False
B-081,S006,2026-03-01,L3,552,LOT-S006-202603-01,bonded_seam_tape,WC-AWAY-M,False
B-082,S001,2026-03-19,L3,1680,LOT-S001-202603-01,jersey_fabric,WC-AWAY-M,False
B-083,S008,2026-03-06,L3,871,LOT-S008-202603-05,heat_transfer_film,WC-AWAY-W,False
B-084,S008,2026-03-27,L1,1462,LOT-S008-202603-03,heat_transfer_film,WC-AWAY-W,False
B-085,S006,2026-02-16,L1,829,LOT-S006-202602-03,bonded_seam_tape,WC-AWAY-W,False
B-086,S005,2026-03-09,L4,1626,LOT-S005-202603-01,jersey_fabric,WC-AWAY-W,False
B-087,S006,2026-01-16,L3,1162,LOT-S006-202601-01,bonded_seam_tape,WC-AWAY-W,False
B-088,S001,2026-03-11,L4,1346,LOT-S001-202603-01,jersey_fabric,WC-AWAY-M,False
B-089,S006,2026-03-12,L4,1780,LOT-S006-202603-04,bonded_seam_tape,WC-HOME-M,False
B-090,S005,2026-01-31,L2,1089,LOT-S005-202601-04,jersey_fabric,WC-AWAY-W,False
B-091,S001,2026-01-20,L2,1953,LOT-S001-202601-02,jersey_fabric,WC-HOME-W,False
B-092,S001,2026-03-16,L4,690,LOT-S001-202603-02,jersey_fabric,WC-HOME-M,False
B-093,S002,2026-03-05,L2,1520,LOT-S002-202603-03,bonded_seam_tape,WC-HOME-W,False
B-094,S008,2026-02-27,L4,999,LOT-S008-202602-04,heat_transfer_film,WC-AWAY-M,False
B-095,S004,2026-02-23,L2,642,LOT-S004-202602-03,heat_transfer_film,WC-AWAY-W,False
B-096,S005,2026-02-17,L1,1079,LOT-S005-202602-03,jersey_fabric,WC-AWAY-W,False
B-097,S008,2026-01-24,L4,1206,LOT-S008-202601-03,heat_transfer_film,WC-AWAY-W,False
B-098,S006,2026-03-04,L2,1928,LOT-S006-202603-02,bonded_seam_tape,WC-AWAY-W,False
B-099,S007,2026-02-03,L1,1151,LOT-S007-202602-04,bonded_seam_tape,WC-AWAY-W,False
B-100,S003,2026-02-23,L4,575,LOT-S003-202602-02,jersey_fabric,WC-HOME-W,False
B-101,S008,2026-01-17,L1,1577,LOT-S008-202601-04,heat_transfer_film,WC-HOME-M,False
B-102,S007,2026-01-23,L2,653,LOT-S007-202601-04,bonded_seam_tape,WC-HOME-W,True
B-103,S007,2026-02-17,L1,1172,LOT-S007-202602-05,bonded_seam_tape,WC-AWAY-W,False
B-104,S008,2026-02-14,L1,1764,LOT-S008-202602-01,heat_transfer_film,WC-AWAY-M,False
B-105,S005,2026-03-26,L2,685,LOT-S005-202603-04,jersey_fabric,WC-HOME-M,False
B-106,S002,2026-03-27,L4,840,LOT-S002-202603-03,bonded_seam_tape,WC-HOME-M,False
B-107,S006,2026-01-10,L1,1100,LOT-S006-202601-03,bonded_seam_tape,WC-HOME-W,False
B-108,S003,2026-03-01,L2,1587,LOT-S003-202603-04,jersey_fabric,WC-AWAY-M,False
B-109,S003,2026-01-26,L1,1748,LOT-S003-202601-04,jersey_fabric,WC-AWAY-M,False
B-110,S003,2026-03-09,L2,1444,LOT-S003-202603-03,jersey_fabric,WC-AWAY-W,False
B-111,S001,2026-02-06,L4,1089,LOT-S001-202602-05,jersey_fabric,WC-AWAY-M,False
B-112,S008,2026-01-14,L3,1703,LOT-S008-202601-03,heat_transfer_film,WC-AWAY-W,False
B-113,S008,2026-02-06,L3,907,LOT-S008-202602-04,heat_transfer_film,WC-AWAY-W,True
B-114,S004,2026-01-18,L4,1671,LOT-S004-202601-03,heat_transfer_film,WC-HOME-W,False
B-115,S001,2026-02-11,L4,1062,LOT-S001-202602-01,jersey_fabric,WC-HOME-M,False
B-116,S008,2026-03-23,L3,971,LOT-S008-202603-05,heat_transfer_film,WC-HOME-W,False
B-117,S004,2026-02-02,L3,1888,LOT-S004-202602-02,heat_transfer_film,WC-HOME-M,False
B-118,S001,2026-03-26,L3,1402,LOT-S001-202603-01,jersey_fabric,WC-HOME-W,False
B-119,S002,2026-01-21,L3,1169,LOT-S002-202601-04,bonded_seam_tape,WC-AWAY-M,False
B-120,S003,2026-01-30,L3,1587,LOT-S003-202601-05,jersey_fabric,WC-HOME-W,False
B-121,S005,2026-01-26,L4,1104,LOT-S005-202601-03,jersey_fabric,WC-HOME-M,False
B-122,S002,2026-03-05,L2,962,LOT-S002-202603-04,bonded_seam_tape,WC-HOME-W,False
B-123,S007,2026-01-16,L1,1041,LOT-S007-202601-05,bonded_seam_tape,WC-HOME-M,False
B-124,S006,2026-03-04,L3,1697,LOT-S006-202603-04,bonded_seam_tape,WC-HOME-W,False
B-125,S004,2026-01-18,L4,551,LOT-S004-202601-05,heat_transfer_film,WC-HOME-W,False
B-126,S004,2026-03-24,L1,1801,LOT-S004-202603-04,heat_transfer_film,WC-HOME-W,False
B-127,S002,2026-02-26,L2,592,LOT-S002-202602-01,bonded_seam_tape,WC-HOME-W,False
B-128,S002,2026-03-09,L1,980,LOT-S002-202603-05,bonded_seam_tape,WC-AWAY-M,False
B-129,S008,2026-02-23,L3,1873,LOT-S008-202602-05,heat_transfer_film,WC-AWAY-W,True
B-130,S003,2026-03-21,L4,1841,LOT-S003-202603-01,jersey_fabric,WC-AWAY-W,False
B-131,S007,2026-03-24,L3,567,LOT-S007-202603-03,bonded_seam_tape,WC-AWAY-M,False
B-132,S008,2026-03-02,L2,1242,LOT-S008-202603-01,heat_transfer_film,WC-HOME-W,False
B-133,S006,2026-03-15,L1,1315,LOT-S006-202603-03,bonded_seam_tape,WC-AWAY-M,False
B-134,S008,2026-01-20,L1,1857,LOT-S008-202601-02,heat_transfer_film,WC-HOME-M,False
B-135,S006,2026-01-11,L2,757,LOT-S006-202601-05,bonded_seam_tape,WC-AWAY-M,False
B-136,S004,2026-01-13,L2,977,LOT-S004-202601-03,heat_transfer_film,WC-AWAY-M,False
B-137,S001,2026-03-22,L3,796,LOT-S001-202603-02,jersey_fabric,WC-HOME-W,False
B-138,S002,2026-01-27,L1,769,LOT-S002-202601-01,bonded_seam_tape,WC-HOME-W,False
B-139,S006,2026-02-04,L1,856,LOT-S006-202602-03,bonded_seam_tape,WC-HOME-M,False
B-140,S007,2026-01-21,L1,630,LOT-S007-202601-04,bonded_seam_tape,WC-AWAY-W,False
B-141,S002,2026-02-20,L4,1531,LOT-S002-202602-02,bonded_seam_tape,WC-HOME-M,False
B-142,S005,2026-03-12,L4,1817,LOT-S005-202603-01,jersey_fabric,WC-HOME-M,False
B-143,S007,2026-03-07,L4,1905,LOT-S007-202603-01,bonded_seam_tape,WC-AWAY-W,False
B-144,S002,2026-03-02,L1,1159,LOT-S002-202603-05,bonded_seam_tape,WC-AWAY-M,False
B-145,S003,2026-01-13,L3,1778,LOT-S003-202601-05,jersey_fabric,WC-HOME-W,False
B-146,S005,2026-02-22,L4,1535,LOT-S005-202602-05,jersey_fabric,WC-AWAY-W,False
B-147,S002,2026-01-17,L2,1380,LOT-S002-202601-04,bonded_seam_tape,WC-AWAY-M,False
B-148,S006,2026-02-26,L4,1316,LOT-S006-202602-04,bonded_seam_tape,WC-HOME-M,False
B-149,S007,2026-02-14,L3,1862,LOT-S007-202602-03,bonded_seam_tape,WC-HOME-W,True
B-150,S008,2026-01-24,L1,686,LOT-S008-202601-01,heat_transfer_film,WC-HOME-M,False
B-151,S002,2026-03-01,L3,766,LOT-S002-202603-05,bonded_seam_tape,WC-HOME-M,False
B-152,S006,2026-03-21,L1,1341,LOT-S006-202603-03,bonded_seam_tape,WC-AWAY-W,False
B-153,S005,2026-01-11,L3,1220,LOT-S005-202601-01,jersey_fabric,WC-AWAY-M,False
B-154,S008,2026-01-24,L2,721,LOT-S008-202601-03,heat_transfer_film,WC-HOME-W,True
B-155,S005,2026-01-19,L2,1378,LOT-S005-202601-05,jersey_fabric,WC-HOME-M,False
B-156,S005,2026-03-23,L1,869,LOT-S005-202603-03,jersey_fabric,WC-HOME-W,False
B-157,S006,2026-02-17,L1,871,LOT-S006-202602-02,bonded_seam_tape,WC-AWAY-W,False
B-158,S003,2026-01-13,L1,687,LOT-S003-202601-05,jersey_fabric,WC-AWAY-M,False
B-159,S007,2026-02-22,L4,1198,LOT-S007-202602-02,bonded_seam_tape,WC-HOME-W,False
B-160,S006,2026-02-13,L1,607,LOT-S006-202602-02,bonded_seam_tape,WC-AWAY-M,False
B-161,S001,2026-03-25,L1,1057,LOT-S001-202603-04,jersey_fabric,WC-AWAY-W,False
B-162,S008,2026-03-08,L4,1059,LOT-S008-202603-02,heat_transfer_film,WC-HOME-M,False
B-163,S007,2026-02-18,L1,1080,LOT-S007-202602-05,bonded_seam_tape,WC-AWAY-W,False
B-164,S005,2026-03-13,L1,951,LOT-S005-202603-04,jersey_fabric,WC-HOME-M,False
B-165,S004,2026-01-05,L3,932,LOT-S004-202601-02,heat_transfer_film,WC-HOME-W,False
B-166,S006,2026-02-11,L1,515,LOT-S006-202602-04,bonded_seam_tape,WC-AWAY-W,False
B-167,S003,2026-01-27,L4,1590,LOT-S003-202601-02,jersey_fabric,WC-HOME-W,False
B-168,S007,2026-01-14,L1,1393,LOT-S007-202601-01,bonded_seam_tape,WC-AWAY-W,False
B-169,S006,2026-01-14,L4,1674,LOT-S006-202601-04,bonded_seam_tape,WC-AWAY-W,False
B-170,S002,2026-02-11,L4,542,LOT-S002-202602-03,bonded_seam_tape,WC-AWAY-M,False
B-171,S008,2026-03-25,L3,680,LOT-S008-202603-04,heat_transfer_film,WC-HOME-M,False
B-172,S007,2026-02-05,L4,1573,LOT-S007-202602-01,bonded_seam_tape,WC-AWAY-W,False
B-173,S006,2026-02-13,L2,1182,LOT-S006-202602-02,bonded_seam_tape,WC-HOME-M,False
B-174,S002,2026-03-11,L2,1215,LOT-S002-202603-03,bonded_seam_tape,WC-AWAY-M,False
B-175,S002,2026-02-04,L2,1024,LOT-S002-202602-02,bonded_seam_tape,WC-AWAY-M,False
B-176,S003,2026-03-23,L1,862,LOT-S003-202603-04,jersey_fabric,WC-AWAY-W,False
B-177,S008,2026-03-18,L3,1784,LOT-S008-202603-03,heat_transfer_film,WC-AWAY-M,False
B-178,S002,2026-03-02,L4,1405,LOT-S002-202603-03,bonded_seam_tape,WC-HOME-W,False
B-179,S001,2026-03-21,L3,1539,LOT-S001-202603-01,jersey_fabric,WC-HOME-W,False
B-180,S008,2026-03-05,L1,616,LOT-S008-202603-03,heat_transfer_film,WC-HOME-W,False
B-181,S002,2026-01-14,L4,1447,LOT-S002-202601-05,bonded_seam_tape,WC-HOME-M,False
B-182,S004,2026-03-03,L3,1739,LOT-S004-202603-04,heat_transfer_film,WC-AWAY-M,False
B-183,S008,2026-01-12,L1,1203,LOT-S008-202601-01,heat_transfer_film,WC-AWAY-M,False
B-184,S004,2026-01-10,L4,1399,LOT-S004-202601-05,heat_transfer_film,WC-AWAY-M,False
B-185,S006,2026-02-20,L3,1293,LOT-S006-202602-04,bonded_seam_tape,WC-HOME-W,False
B-186,S001,2026-03-22,L3,634,LOT-S001-202603-03,jersey_fabric,WC-HOME-M,False
B-187,S007,2026-03-17,L3,1016,LOT-S007-202603-05,bonded_seam_tape,WC-AWAY-M,False
B-188,S002,2026-02-16,L2,1216,LOT-S002-202602-03,bonded_seam_tape,WC-AWAY-W,False
B-189,S002,2026-01-21,L3,1644,LOT-S002-202601-04,bonded_seam_tape,WC-HOME-W,False
B-190,S002,2026-01-21,L4,1541,LOT-S002-202601-03,bonded_seam_tape,WC-HOME-M,False
B-191,S005,2026-02-20,L2,938,LOT-S005-202602-03,jersey_fabric,WC-AWAY-W,False
B-192,S004,2026-01-29,L2,817,LOT-S004-202601-01,heat_transfer_film,WC-HOME-W,False
B-193,S001,2026-01-17,L3,1765,LOT-S001-202601-02,jersey_fabric,WC-AWAY-W,False
B-194,S003,2026-01-24,L2,1918,LOT-S003-202601-05,jersey_fabric,WC-AWAY-M,False
B-195,S001,2026-03-02,L4,1246,LOT-S001-202603-02,jersey_fabric,WC-AWAY-W,False
B-196,S005,2026-03-24,L4,979,LOT-S005-202603-05,jersey_fabric,WC-AWAY-M,False
B-197,S008,2026-02-13,L2,1253,LOT-S008-202602-05,heat_transfer_film,WC-AWAY-W,True
B-198,S005,2026-03-05,L4,1529,LOT-S005-202603-05,jersey_fabric,WC-AWAY-W,False
B-199,S004,2026-01-25,L2,1012,LOT-S004-202601-01,heat_transfer_film,WC-AWAY-W,False
B-200,S002,2026-02-21,L1,1083,LOT-S002-202602-01,bonded_seam_tape,WC-AWAY-M,False
