supplier_id,line_id,month,units_inspected,defect_rate,defects_found
S002,L4,2026-02,810,0.04943,40
S002,L1,2026-03,674,0.04807,32
S002,L2,2026-03,467,0.03573,16
S002,L3,2026-03,616,0.04985,30
S002,L4,2026-03,980,0.04279,41
S003,L1,2025-01,1135,0.05417,61
S003,L2,2025-01,722,0.05616,40
S003,L3,2025-01,617,0.04316,26
S003,L4,2025-01,1071,0.03848,41
S003,L1,2025-02,911,0.04113,37
S003,L2,2025-02,805,0.04561,36
S003,L3,2025-02,1058,0.05441,57
S003,L4,2025-02,869,0.05537,48
S003,L1,2025-03,546,0.03616,19
S003,L2,2025-03,671,0.04749,31
S003,L3,2025-03,542,0.04539,24
S003,L4,2025-03,652,0.041,26
S003,L1,2025-04,1162,0.0387,44
S003,L2,2025-04,974,0.0436,42
S003,L3,2025-04,951,0.05722,54
S003,L4,2025-04,669,0.04327,28
S003,L1,2025-05,1164,0.04767,55
S003,L2,2025-05,998,0.05182,51
S003,L3,2025-05,838,0.04418,37
S003,L4,2025-05,997,0.05787,57
S003,L1,2025-06,808,0.05766,46
S003,L2,2025-06,770,0.04167,32
S003,L3,2025-06,624,0.04719,29
S003,L4,2025-06,541,0.04277,23
S003,L1,2025-07,921,0.04241,39
S003,L2,2025-07,905,0.03683,33
S003,L3,2025-07,493,0.04972,24
S003,L4,2025-07,1173,0.04731,55
S003,L1,2025-08,448,0.03716,16
S003,L2,2025-08,512,0.04227,21
S003,L3,2025-08,556,0.05644,31
S003,L4,2025-08,1042,0.04139,43
S003,L1,2025-09,563,0.03926,22
S003,L2,2025-09,1096,0.04701,51
S003,L3,2025-09,832,0.05818,48
S003,L4,2025-09,1010,0.04145,41
S003,L1,2025-10,465,0.05112,23
S003,L2,2025-10,794,0.05314,42
S003,L3,2025-10,790,0.04135,32
S003,L4,2025-10,1010,0.05238,52
S003,L1,2025-11,879,0.04428,38
S003,L2,2025-11,941,0.05023,47
S003,L3,2025-11,657,0.05025,33
S003,L4,2025-11,966,0.04805,46
S003,L1,2025-12,411,0.03803,15
S003,L2,2025-12,1096,0.05479,60
S003,L3,2025-12,1138,0.04322,49
S003,L4,2025-12,517,0.0402,20
S003,L1,2026-01,1098,0.03692,40
S003,L2,2026-01,949,0.0493,46
S003,L3,2026-01,1168,0.05125,59
S003,L4,2026-01,673,0.03637,24
S003,L1,2026-02,1187,0.04752,56
S003,L2,2026-02,1056,0.0411,43
S003,L3,2026-02,748,0.05052,37
S003,L4,2026-02,514,0.03992,20
S003,L1,2026-03,700,0.05155,36
S003,L2,2026-03,845,0.0447,37
S003,L3,2026-03,561,0.05708,32
S003,L4,2026-03,864,0.03909,33
S004,L1,2025-01,403,0.03688,14
S004,L2,2025-01,1139,0.03256,37
S004,L3,2025-01,1136,0.04797,54
S004,L4,2025-01,669,0.04707,31
S004,L1,2025-02,912,0.0353,32
S004,L2,2025-02,1180,0.04294,50
S004,L3,2025-02,582,0.04593,26
S004,L4,2025-02,919,0.04095,37
S004,L1,2025-03,508,0.04046,20
S004,L2,2025-03,1040,0.035,36
S004,L3,2025-03,705,0.03217,22
S004,L4,2025-03,1054,0.04745,50
S004,L1,2025-04,919,0.04751,43
S004,L2,2025-04,1023,0.04243,43
S004,L3,2025-04,603,0.03684,22
S004,L4,2025-04,556,0.03703,20
S004,L1,2025-05,782,0.04419,34
S004,L2,2025-05,1180,0.04745,55
S004,L3,2025-05,565,0.04725,26
S004,L4,2025-05,952,0.04522,43
S004,L1,2025-06,1197,0.0426,50
S004,L2,2025-06,943,0.032,30
S004,L3,2025-06,400,0.03347,13
S004,L4,2025-06,1013,0.04747,48
S004,L1,2025-07,731,0.04192,30
S004,L2,2025-07,900,0.03057,27
S004,L3,2025-07,419,0.03233,13
S004,L4,2025-07,514,0.04301,22
S004,L1,2025-08,771,0.0305,23
S004,L2,2025-08,714,0.03346,23
S004,L3,2025-08,645,0.04083,26
S004,L4,2025-08,459,0.04355,19
S004,L1,2025-09,646,0.04279,27
S004,L2,2025-09,980,0.03466,33
S004,L3,2025-09,480,0.04393,21
S004,L4,2025-09,487,0.03491,17
S004,L1,2025-10,1149,0.03658,42
S004,L2,2025-10,897,0.04458,39
S004,L3,2025-10,470,0.04274,20
S004,L4,2025-10,1178,0.04654,54
S004,L1,2025-11,945,0.04289,40
S004,L2,2025-11,1184,0.0412,48
S004,L3,2025-11,528,0.03218,16
S004,L4,2025-11,531,0.03739,19
S004,L1,2025-12,1075,0.03544,38
S004,L2,2025-12,886,0.03504,31
S004,L3,2025-12,962,0.04889,47
S004,L4,2025-12,569,0.03787,21
S004,L1,2026-01,671,0.04735,31
S004,L2,2026-01,940,0.04239,39
S004,L3,2026-01,1021,0.0455,46
S004,L4,2026-01,833,0.03995,33
S004,L1,2026-02,616,0.04136,25
S004,L2,2026-02,952,0.03976,37
S004,L3,2026-02,1173,0.03411,40
S004,L4,2026-02,1147,0.04413,50
S004,L1,2026-03,1106,0.03573,39
S004,L2,2026-03,605,0.03086,18
S004,L3,2026-03,1130,0.04266,48
S004,L4,2026-03,719,0.03377,24
S005,L1,2025-01,808,0.04192,33
S005,L2,2025-01,1087,0.04214,45
S005,L3,2025-01,1065,0.0415,44
S005,L4,2025-01,782,0.03251,25
S005,L1,2025-02,848,0.02666,22
S005,L2,2025-02,929,0.04172,38
S005,L3,2025-02,862,0.03347,28
S005,L4,2025-02,523,0.04235,22
S005,L1,2025-03,653,0.0423,27
S005,L2,2025-03,630,0.04047,25
S005,L3,2025-03,465,0.03126,14
S005,L4,2025-03,746,0.03275,24
S005,L1,2025-04,421,0.04044,17
S005,L2,2025-04,1002,0.03163,31
S005,L3,2025-04,967,0.0292,28
S005,L4,2025-04,635,0.03559,22
S005,L1,2025-05,1002,0.04185,41
S005,L2,2025-05,625,0.03788,23
S005,L3,2025-05,407,0.03581,14
S005,L4,2025-05,472,0.028,13
S005,L1,2025-06,1124,0.03655,41
S005,L2,2025-06,1046,0.04274,44
S005,L3,2025-06,460,0.02871,13
S005,L4,2025-06,634,0.03495,22
S005,L1,2025-07,469,0.04088,19
S005,L2,2025-07,432,0.03862,16
S005,L3,2025-07,738,0.0379,27
S005,L4,2025-07,472,0.03799,17
S005,L1,2025-08,926,0.03233,29
S005,L2,2025-08,643,0.03124,20
S005,L3,2025-08,685,0.03975,27
S005,L4,2025-08,1085,0.03977,43
S005,L1,2025-09,897,0.04071,36
S005,L2,2025-09,619,0.04147,25
S005,L3,2025-09,952,0.03484,33
S005,L4,2025-09,535,0.03468,18
S005,L1,2025-10,1140,0.03957,45
S005,L2,2025-10,984,0.03712,36
S005,L3,2025-10,990,0.03798,37
S005,L4,2025-10,884,0.03953,34
S005,L1,2025-11,648,0.04109,26
S005,L2,2025-11,884,0.03198,28
S005,L3,2025-11,816,0.0326,26
S005,L4,2025-11,594,0.02795,16
S005,L1,2025-12,496,0.03594,17
S005,L2,2025-12,499,0.02699,13
S005,L3,2025-12,1074,0.03408,36
S005,L4,2025-12,841,0.03535,29
S005,L1,2026-01,762,0.03113,23
S005,L2,2026-01,833,0.03615,30
S005,L3,2026-01,820,0.0269,22
S005,L4,2026-01,878,0.02702,23
S005,L1,2026-02,1146,0.03997,45
S005,L2,2026-02,455,0.03234,14
S005,L3,2026-02,1089,0.0285,31
S005,L4,2026-02,1069,0.03502,37
S005,L1,2026-03,1061,0.0391,41
S005,L2,2026-03,500,0.02996,14
S005,L3,2026-03,462,0.03668,16
S005,L4,2026-03,812,0.02781,22
S006,L1,2025-01,1145,0.03634,41
S006,L2,2025-01,747,0.04689,35
S006,L3,2025-01,511,0.04709,24
S006,L4,2025-01,654,0.04922,32
S006,L1,2025-02,596,0.05117,30
S006,L2,2025-02,594,0.05667,33
S006,L3,2025-02,949,0.04656,44
S006,L4,2025-02,859,0.04231,36
S006,L1,2025-03,543,0.05269,28
S006,L2,2025-03,832,0.04116,34
S006,L3,2025-03,587,0.04486,26
S006,L4,2025-03,685,0.03693,25
S006,L1,2025-04,873,0.03576,31
S006,L2,2025-04,655,0.05638,36
S006,L3,2025-04,477,0.05359,25
S006,L4,2025-04,853,0.05051,43
S006,L1,2025-05,963,0.0442,42
S006,L2,2025-05,500,0.03901,19
S006,L3,2025-05,451,0.03864,17
S006,L4,2025-05,1067,0.04071,43
S006,L1,2025-06,953,0.04728,45
S006,L2,2025-06,415,0.05092,21
S006,L3,2025-06,495,0.04972,24
S006,L4,2025-06,1171,0.04136,48
S006,L1,2025-07,642,0.05621,36
S006,L2,2025-07,570,0.05143,29
S006,L3,2025-07,816,0.0474,38
S006,L4,2025-07,897,0.04866,43
S006,L1,2025-08,892,0.04443,39
S006,L2,2025-08,618,0.04065,25
S006,L3,2025-08,810,0.04303,34
S006,L4,2025-08,460,0.05187,23
S006,L1,2025-09,568,0.03552,20
S006,L2,2025-09,788,0.03775,29
S006,L3,2025-09,402,0.03621,14
S006,L4,2025-09,799,0.0361,28
S006,L1,2025-10,671,0.05402,36
S006,L2,2025-10,865,0.05068,43
S006,L3,2025-10,692,0.04563,31
S006,L4,2025-10,833,0.03735,31
S006,L1,2025-11,1113,0.04602,51
S006,L2,2025-11,1148,0.04562,52
S006,L3,2025-11,969,0.03901,37
S006,L4,2025-11,1077,0.04474,48
S006,L1,2025-12,1135,0.04397,49
S006,L2,2025-12,898,0.04875,43
S006,L3,2025-12,558,0.04917,27
S006,L4,2025-12,594,0.0362,21
S006,L1,2026-01,703,0.04344,30
S006,L2,2026-01,622,0.04897,30
S006,L3,2026-01,459,0.04627,21
S006,L4,2026-01,993,0.05404,53
S006,L1,2026-02,1153,0.04969,57
S006,L2,2026-02,955,0.03878,37
S006,L3,2026-02,462,0.03675,16
S006,L4,2026-02,1165,0.04933,57
S006,L1,2026-03,721,0.03578,25
S006,L2,2026-03,458,0.04809,22
S006,L3,2026-03,451,0.05589,25
S006,L4,2026-03,998,0.04786,47
S007,L1,2025-01,888,0.03778,33
S007,L2,2025-01,914,0.04262,38
S007,L3,2025-01,943,0.03911,36
S007,L4,2025-01,561,0.04077,22
S007,L1,2025-02,458,0.04829,22
S007,L2,2025-02,920,0.03774,34
S007,L3,2025-02,482,0.04866,23
S007,L4,2025-02,590,0.0476,28
S007,L1,2025-03,470,0.03412,16
S007,L2,2025-03,1009,0.03172,32
S007,L3,2025-03,469,0.03231,15
S007,L4,2025-03,1091,0.03075,33
S007,L1,2025-04,640,0.03219,20
S007,L2,2025-04,813,0.04338,35
S007,L3,2025-04,522,0.03175,16
S007,L4,2025-04,983,0.03646,35
S007,L1,2025-05,652,0.04645,30
S007,L2,2025-05,992,0.03084,30
S007,L3,2025-05,1008,0.04587,46
S007,L4,2025-05,440,0.03576,15
S007,L1,2025-06,1034,0.03265,33
S007,L2,2025-06,483,0.04364,21
S007,L3,2025-06,829,0.04235,35
S007,L4,2025-06,1073,0.04707,50
S007,L1,2025-07,997,0.04437,44
S007,L2,2025-07,978,0.04567,44
S007,L3,2025-07,935,0.03576,33
S007,L4,2025-07,723,0.03377,24
S007,L1,2025-08,667,0.04466,29
S007,L2,2025-08,609,0.04573,27
S007,L3,2025-08,1085,0.04922,53
S007,L4,2025-08,1133,0.03824,43
S007,L1,2025-09,721,0.03747,27
S007,L2,2025-09,644,0.04515,29
S007,L3,2025-09,671,0.03688,24
S007,L4,2025-09,805,0.04808,38
S007,L1,2025-10,534,0.04671,24
S007,L2,2025-10,1087,0.03855,41
S007,L3,2025-10,1060,0.04467,47
S007,L4,2025-10,707,0.04474,31
S007,L1,2025-11,868,0.03236,28
S007,L2,2025-11,723,0.04755,34
S007,L3,2025-11,1169,0.04,46
S007,L4,2025-11,474,0.0461,21
S007,L1,2025-12,409,0.03785,15
S007,L2,2025-12,869,0.08763,76
S007,L3,2025-12,1036,0.07031,72
S007,L4,2025-12,976,0.03432,33
S007,L1,2026-01,502,0.04452,22
S007,L2,2026-01,475,0.06012,28
S007,L3,2026-01,950,0.06792,64
S007,L4,2026-01,618,0.04503,27
S007,L1,2026-02,918,0.04504,41
S007,L2,2026-02,671,0.07661,51
S007,L3,2026-02,535,0.07861,42
S007,L4,2026-02,757,0.03931,29
S007,L1,2026-03,470,0.03754,17
S007,L2,2026-03,650,0.06824,44
S007,L3,2026-03,778,0.08,62
S007,L4,2026-03,691,0.04278,29
S008,L1,2025-01,561,0.04903,27
S008,L2,2025-01,848,0.04899,41
S008,L3,2025-01,956,0.03467,33
S008,L4,2025-01,1120,0.04294,48
S008,L1,2025-02,709,0.03398,24
S008,L2,2025-02,1026,0.04407,45
S008,L3,2025-02,1069,0.04185,44
S008,L4,2025-02,941,0.051,47
S008,L1,2025-03,408,0.03999,16
S008,L2,2025-03,1083,0.0352,38
S008,L3,2025-03,967,0.03573,34
S008,L4,2025-03,706,0.04841,34
S008,L1,2025-04,1079,0.04547,49
S008,L2,2025-04,506,0.03487,17
S008,L3,2025-04,537,0.03452,18
S008,L4,2025-04,670,0.04717,31
S008,L1,2025-05,518,0.03429,17
S008,L2,2025-05,509,0.04965,25
S008,L3,2025-05,1160,0.04728,54
S008,L4,2025-05,966,0.03447,33
S008,L1,2025-06,559,0.03454,19
S008,L2,2025-06,678,0.05303,35
S008,L3,2025-06,688,0.04047,27
S008,L4,2025-06,1019,0.0404,41
S008,L1,2025-07,615,0.04946,30
S008,L2,2025-07,1134,0.05222,59
S008,L3,2025-07,751,0.05301,39
S008,L4,2025-07,608,0.04824,29
S008,L1,2025-08,1103,0.04051,44
S008,L2,2025-08,1049,0.03451,36
S008,L3,2025-08,670,0.04873,32
S008,L4,2025-08,917,0.04425,40
S008,L1,2025-09,900,0.0415,37
S008,L2,2025-09,657,0.05138,33
S008,L3,2025-09,452,0.03508,15
S008,L4,2025-09,494,0.0429,21
S008,L1,2025-10,1049,0.03303,34
S008,L2,2025-10,833,0.04241,35
S008,L3,2025-10,683,0.03395,23
S008,L4,2025-10,445,0.03524,15
S008,L1,2025-11,403,0.03521,14
S008,L2,2025-11,741,0.04611,34
S008,L3,2025-11,1189,0.04809,57
S008,L4,2025-11,533,0.04476,23
S008,L1,2025-12,1052,0.04873,51
S008,L2,2025-12,668,0.07533,50
S008,L3,2025-12,565,0.07204,40
S008,L4,2025-12,1159,0.04758,55
S008,L1,2026-01,852,0.03965,33
S008,L2,2026-01,964,0.09704,93
S008,L3,2026-01,1122,0.06195,69
S008,L4,2026-01,837,0.04883,40
S008,L1,2026-02,974,0.03743,36
S008,L2,2026-02,409,0.09438,38
S008,L3,2026-02,514,0.08097,41
S008,L4,2026-02,477,0.04911,23
S008,L1,2026-03,1107,0.03781,41
S008,L2,2026-03,552,0.08194,45
S008,L3,2026-03,958,0.09727,93
S008,L4,2026-03,436,0.04333,18
